,Victim Age,Perpetrator Age,Victim Sex,Victim Race,Perpetrator Sex,Perpetrator Race,State,Weapon,Murder Count
4135,"(20, 30]","(20, 30]",Male,Black,Male,Black,Wisconsin,Firearm,5
978,"(10, 20]","(10, 20]",Male,White,Male,White,Wisconsin,Knife,4
3036,"(20, 30]","(10, 20]",Male,Black,Male,Black,Wisconsin,Firearm,4
3451,"(20, 30]","(10, 20]",Male,White,Male,White,Wisconsin,Knife,4
4137,"(20, 30]","(20, 30]",Male,Black,Male,Black,Wisconsin,Knife,3
4759,"(20, 30]","(20, 30]",Male,White,Male,White,Wisconsin,Shotgun,3
10396,"(40, 50]","(20, 30]",Male,White,Male,White,Wisconsin,Blunt Object,3
10398,"(40, 50]","(20, 30]",Male,White,Male,White,Wisconsin,Knife,3
7854,"(30, 40]","(20, 30]",Male,White,Male,White,West Virginia,Knife,3
7850,"(30, 40]","(20, 30]",Male,White,Male,White,Washington,Rifle,9
9683,"(40, 50]","(10, 20]",Male,White,Male,White,Washington,Knife,7
10389,"(40, 50]","(20, 30]",Male,White,Male,White,Washington,Blunt Object,6
972,"(10, 20]","(10, 20]",Male,White,Male,White,Washington,Knife,5
4746,"(20, 30]","(20, 30]",Male,White,Male,White,Washington,Knife,5
5586,"(20, 30]","(30, 40]",Male,White,Male,White,Washington,Knife,5
1791,"(10, 20]","(20, 30]",Male,White,Male,White,Washington,Knife,4
6879,"(30, 40]","(10, 20]",Male,White,Male,White,Washington,Knife,4
8656,"(30, 40]","(30, 40]",Male,White,Male,White,Washington,Rifle,4
973,"(10, 20]","(10, 20]",Male,White,Male,White,Washington,Rifle,3
4124,"(20, 30]","(20, 30]",Male,Black,Male,Black,Virginia,Firearm,9
629,"(10, 20]","(10, 20]",Male,Black,Male,Black,Virginia,Firearm,7
1406,"(10, 20]","(20, 30]",Male,Black,Male,Black,Virginia,Firearm,6
3027,"(20, 30]","(10, 20]",Male,Black,Male,Black,Virginia,Firearm,6
3438,"(20, 30]","(10, 20]",Male,White,Male,White,Virginia,Knife,6
4126,"(20, 30]","(20, 30]",Male,Black,Male,Black,Virginia,Knife,6
7845,"(30, 40]","(20, 30]",Male,White,Male,White,Virginia,Knife,6
4740,"(20, 30]","(20, 30]",Male,White,Male,White,Virginia,Knife,5
6568,"(30, 40]","(10, 20]",Male,Black,Male,Black,Virginia,Firearm,5
970,"(10, 20]","(10, 20]",Male,White,Male,White,Virginia,Knife,4
